w_N,seed,F_best,N_exposed,L_total,R_N,R_L,topology,n_accepted,cum_acceptance,n_worse_accepted,last_improve_gen,runtime_s,success,timed_out,init_valid
0.2,9,0.813994,1867204,780.97,69.736,5.817,"((1,2),(3,(4,5)))",65,0.433333,16,117,469.1,True,False,True
0.2,10,0.821524,2080488,781.61,66.279,5.740,"((1,2),((3,4),5))",50,0.333333,12,145,458.4,True,False,True
0.2,11,0.821728,2500962,767.69,59.464,7.418,"((1,2),((3,4),5))",38,0.253333,17,144,505.7,True,False,True
0.2,12,0.812523,2081649,772.24,66.260,6.869,"((1,2),(3,(4,5)))",61,0.406667,21,148,475.9,True,False,True
0.2,13,0.822377,2085750,782.31,66.194,5.654,"((1,2),((3,4),5))",42,0.280000,15,88,480.2,True,False,True
0.2,14,0.862825,1854034,832.02,69.950,-0.341,"((1,(2,3)),(4,5))",42,0.280000,11,107,415.5,True,False,True
0.2,15,0.812711,1869811,779.55,69.694,5.988,"((1,2),(3,(4,5)))",52,0.346667,16,139,436.2,True,False,True
0.2,16,0.836647,1762905,807.95,71.427,2.562,"((1,2),(3,(4,5)))",57,0.380000,19,5,613.9,True,False,True
0.2,17,0.841631,1830518,810.85,70.331,2.213,"((1,2),((3,4),5))",42,0.280000,13,9,505.1,True,False,True
0.2,18,0.820810,2751422,758.32,55.405,8.548,"((1,2),((3,4),5))",56,0.373333,17,139,490.8,True,False,True
0.2,19,0.820391,2095041,779.94,66.043,5.940,"((1,2),((3,4),5))",51,0.340000,14,133,476.0,True,False,True
0.3,0,0.749627,1825312,782.85,70.415,5.590,"((1,2),(3,(4,5)))",51,0.340000,20,119,474.1,True,False,True
0.3,1,0.750774,1820289,784.50,70.497,5.391,"((1,2),(3,(4,5)))",62,0.413333,20,131,481.5,True,False,True
0.3,2,0.749998,1812091,784.05,70.630,5.445,"((1,2),(3,(4,5)))",58,0.386667,18,126,471.9,True,False,True
0.3,3,0.797536,1777533,842.35,71.190,-1.586,"(1,((2,3),(4,5)))",45,0.300000,15,139,694.0,True,False,True
0.3,4,0.757453,1807359,793.15,70.706,4.347,"((1,2),((3,4),5))",52,0.346667,19,129,476.7,True,False,True
0.3,5,0.757662,1805656,793.50,70.734,4.305,"((1,2),((3,4),5))",35,0.233333,7,105,500.9,True,False,True
0.3,6,0.749093,1811166,783.03,70.644,5.568,"((1,2),(3,(4,5)))",45,0.300000,12,132,527.3,True,False,True
0.3,7,0.749551,1817769,783.20,70.537,5.548,"((1,2),(3,(4,5)))",56,0.373333,14,148,669.9,True,False,True
0.3,8,0.751909,1781051,788.10,71.133,4.956,"((1,2),(3,(4,5)))",40,0.266667,10,123,645.2,True,False,True
