cfg,group,param,level,w_N,seed,F_best,N_exposed,L_total,topology,runtime_s,success,timed_out,nbr,error
J1,联合情景,联合,结构收紧,0.3,7,,,,,216.1,False,0,3,
J1,联合情景,联合,结构收紧,0.3,8,,,,,219.7,False,0,3,
J1,联合情景,联合,结构收紧,0.3,2,,,,,233.1,False,0,3,
J1,联合情景,联合,结构收紧,0.3,9,,,,,248.3,False,0,3,
J1,联合情景,联合,结构收紧,0.3,3,0.805421,1742224,853.73,"((1,2),(3,(4,5)))",263.4,True,0,3,
J1,联合情景,联合,结构收紧,0.3,6,,,,,267.4,False,0,3,
J1,联合情景,联合,结构收紧,0.3,1,1.176151,2309980,1260.18,"((1,(2,3)),(4,5))",285.6,True,0,3,
J1,联合情景,联合,结构收紧,0.3,5,0.805103,1839366,847.76,"((1,2),(3,(4,5)))",309.0,True,0,3,
J1,联合情景,联合,结构收紧,0.3,4,0.797233,1779708,841.87,"((1,2),(3,(4,5)))",363.4,True,0,3,
J1,联合情景,联合,结构收紧,0.3,0,0.891606,1891571,947.22,"(1,((2,(3,4)),5))",428.3,True,0,3,
J2,联合情景,联合,结构放宽,0.3,3,0.779238,1774971,820.83,"((1,(2,3)),(4,5))",674.4,True,0,3,
J2,联合情景,联合,结构放宽,0.3,0,0.752662,1808774,787.40,"((1,2),((3,4),5))",692.0,True,0,3,
J2,联合情景,联合,结构放宽,0.3,1,0.745647,1798107,779.70,"((1,2),(3,(4,5)))",710.1,True,0,3,
J2,联合情景,联合,结构放宽,0.3,2,0.746799,1916828,774.23,"((1,2),(3,(4,5)))",732.4,True,0,3,
J2,联合情景,联合,结构放宽,0.3,5,0.753393,1772971,790.33,"((1,2),((3,4),5))",680.0,True,0,3,
J2,联合情景,联合,结构放宽,0.3,6,0.745567,1829306,777.81,"((1,2),(3,(4,5)))",693.5,True,0,3,
J2,联合情景,联合,结构放宽,0.3,8,0.745605,1795235,779.82,"((1,2),(3,(4,5)))",697.8,True,0,3,
J2,联合情景,联合,结构放宽,0.3,4,0.749283,1779375,785.09,"((1,2),(3,(4,5)))",752.1,True,0,3,
J2,联合情景,联合,结构放宽,0.3,9,0.745978,1846093,777.33,"((1,2),(3,(4,5)))",724.4,True,0,3,
J2,联合情景,联合,结构放宽,0.3,7,0.745997,1858192,776.66,"((1,2),(3,(4,5)))",746.6,True,0,3,
J4,联合情景,联合,算法/数值粗,0.3,5,0.756114,1740152,795.44,"((1,2),((3,4),5))",355.1,True,0,2,
