cfg,group,param,level,w_N,seed,F_best,N_exposed,L_total,topology,runtime_s,success,timed_out,nbr,error
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,5,0.756114,1740152,795.44,"((1,2),((3,4),5))",458.9,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,2,0.755642,1714866,796.34,"((1,2),((3,4),5))",498.2,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,4,0.762798,1639060,809.18,"((1,2),(3,(4,5)))",511.0,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,6,0.756748,1748860,795.69,"((1,2),((3,4),5))",530.9,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,9,0.761033,1622735,808.03,"((1,2),(3,(4,5)))",533.1,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,1,0.760510,1648920,805.90,"((1,2),(3,(4,5)))",539.3,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,3,0.755085,1712732,795.80,"((1,2),((3,4),5))",551.4,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,0,0.761979,1621930,809.20,"((1,2),(3,(4,5)))",579.5,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,8,0.758284,1753931,797.22,"((1,2),((3,4),5))",625.5,True,0,2,
DISC=coarse,数值离散化,粗档,"ns=15, 人口2km块, 邻域r=2",0.3,7,0.821838,1797376,870.00,"(1,((2,(3,4)),5))",627.7,True,0,2,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,9,0.829438,2198405,855.90,"((1,2),(3,(4,5)))",550.7,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,6,0.759361,1838497,793.62,"((1,2),((3,4),5))",656.8,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,2,0.762459,1830682,797.74,"((1,2),((3,4),5))",666.4,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,4,0.758031,1847455,791.53,"((1,2),((3,4),5))",677.0,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,3,0.759275,1769972,797.47,"((1,2),(3,(4,5)))",684.2,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,1,0.758185,1758281,796.85,"((1,2),(3,(4,5)))",711.9,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,8,0.755924,1835248,789.74,"((1,2),((3,4),5))",718.6,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,0,0.760377,1770104,798.76,"((1,2),(3,(4,5)))",770.0,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,7,0.814568,2042563,847.27,"(1,((2,(3,4)),5))",790.1,True,0,4,
DISC=fine,数值离散化,细档,"ns=60, 人口原生, 邻域r=4",0.3,5,0.807769,2079777,837.07,"(1,((2,(3,4)),5))",797.8,True,0,4,
