cfg,group,param,level,w_N,seed,F_best,N_exposed,L_total,topology,runtime_s,success,timed_out,nbr,error
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,0,0.924063,1791235,991.45,"(1,((2,3),(4,5)))",678.4,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,7,0.788679,1788691,831.22,"(1,((2,3),(4,5)))",709.7,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,9,0.801505,1916698,839.04,"((1,2),((3,4),5))",393.6,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,7,0.792771,1789079,836.05,"((1,2),(3,(4,5)))",435.8,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,6,0.792164,1785270,835.55,"((1,2),(3,(4,5)))",444.4,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,5,0.908836,1825775,971.42,"(1,((2,(3,4)),5))",671.7,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,4,0.957994,1505952,1048.07,"(1,((2,(3,4)),5))",728.1,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,8,0.861797,1785182,918.04,"(1,((2,(3,4)),5))",582.8,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,5,0.757316,1799863,793.43,"((1,2),((3,4),5))",413.8,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,3,0.757549,1882151,788.96,"((1,2),((3,4),5))",424.0,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,9,0.757881,1818620,793.01,"((1,2),((3,4),5))",450.5,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,4,0.759160,1760021,797.90,"((1,2),(3,(4,5)))",476.0,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,8,0.759705,1801983,796.13,"((1,2),((3,4),5))",504.3,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,7,0.762350,1952441,790.60,"((1,2),((3,4),5))",508.7,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,1,0.755092,1765152,792.79,"((1,2),(3,(4,5)))",514.9,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,2,0.761213,1814041,797.22,"((1,2),((3,4),5))",528.6,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,3,0.759460,1790726,796.49,"((1,2),((3,4),5))",539.2,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,2,0.755858,1791543,792.18,"((1,2),(3,(4,5)))",542.4,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,6,0.756253,1776886,793.49,"((1,2),(3,(4,5)))",544.7,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,1,0.759629,1738349,799.71,"((1,2),(3,(4,5)))",551.0,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,0,0.761026,1741740,801.17,"((1,2),(3,(4,5)))",586.6,True,0,3,
RHO_ASTAR_MAX=1.1,结构性,段内绕行率上界,1.1,0.3,0,0.802586,1678562,854.04,"(1,(2,(3,(4,5))))",710.4,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,4,0.760010,1770416,798.31,"((1,2),((3,4),5))",412.4,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,5,0.757401,1786277,794.31,"((1,2),((3,4),5))",471.1,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,6,0.758702,1742716,798.36,"((1,2),(3,(4,5)))",521.6,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,9,0.758774,1739784,798.61,"((1,2),(3,(4,5)))",510.2,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,7,0.814019,2116775,842.34,"(1,((2,(3,4)),5))",619.1,True,0,3,
RHO_ASTAR_MAX=1.5,结构性,段内绕行率上界,1.5,0.3,8,0.808247,2051426,839.27,"(1,((2,(3,4)),5))",606.3,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,5,0.760989,1818099,796.73,"((1,2),((3,4),5))",400.5,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,1,0.761777,1793659,799.07,"((1,2),((3,4),5))",415.8,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,7,0.763355,1804772,800.30,"((1,2),((3,4),5))",439.0,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,2,0.762960,1782986,801.08,"((1,2),((3,4),5))",443.2,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,4,0.767302,1764045,807.32,"((1,2),(3,(4,5)))",446.5,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,3,0.765670,1770379,805.02,"((1,2),(3,(4,5)))",452.8,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,6,0.775829,1809033,814.83,"((1,2),((3,4),5))",463.2,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,8,0.765689,1751520,806.13,"((1,2),(3,(4,5)))",464.0,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,9,0.761704,1740994,802.01,"((1,2),(3,(4,5)))",511.1,True,0,3,
MAX_TURN_ANGLE=45,结构性,最大转弯角 (deg),45,0.3,0,0.762284,1736264,802.97,"((1,2),(3,(4,5)))",525.3,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,3,0.758166,1798953,794.48,"((1,2),((3,4),5))",542.9,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,1,0.765383,1842417,800.53,"((1,2),((3,4),5))",561.9,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,0,0.827791,1756774,879.39,"((1,(2,3)),(4,5))",563.8,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,2,0.756149,1823334,790.69,"((1,2),((3,4),5))",630.9,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,5,0.850796,1861497,900.61,"((1,(2,3)),(4,5))",435.8,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,4,0.850146,1813061,902.63,"((1,(2,3)),(4,5))",465.7,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,9,0.781454,1785302,822.86,"((1,2),(3,(4,5)))",441.3,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,6,0.757702,1765754,795.85,"((1,2),(3,(4,5)))",497.4,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,7,0.809554,2110626,837.41,"(1,((2,(3,4)),5))",677.8,True,0,3,
MAX_TURN_ANGLE=75,结构性,最大转弯角 (deg),75,0.3,8,0.754308,1741277,793.24,"((1,2),(3,(4,5)))",676.8,True,0,3,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,5,0.799612,1743289,846.79,"((1,2),((3,4),5))",422.3,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,2,0.754328,1740236,793.32,"((1,2),((3,4),5))",523.2,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,1,0.756605,1726085,796.83,"((1,2),((3,4),5))",551.9,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,9,0.760074,1614719,807.36,"((1,2),(3,(4,5)))",558.0,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,6,0.755946,1731522,795.74,"((1,2),((3,4),5))",578.9,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,3,0.760410,1621367,807.37,"((1,2),(3,(4,5)))",587.2,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,8,0.757270,1750081,796.24,"((1,2),((3,4),5))",594.6,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,4,0.760255,1629197,806.74,"((1,2),(3,(4,5)))",599.2,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,0,0.761231,1614859,808.72,"((1,2),(3,(4,5)))",613.8,True,0,2,
NBR_RADIUS=2,算法性,A* 邻域半径,2 (24 邻接),0.3,7,0.841978,1893785,888.30,"(1,((2,(3,4)),5))",835.9,True,0,2,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,0,0.837412,1782694,889.29,"((1,(2,3)),(4,5))",430.2,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,3,0.759661,1873511,791.96,"((1,2),((3,4),5))",430.0,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,1,0.761238,1758037,800.48,"((1,2),(3,(4,5)))",504.5,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,1,0.758171,1790441,794.98,"((1,2),((3,4),5))",531.0,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,2,0.761890,1797597,798.97,"((1,2),(3,(4,5)))",533.1,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,2,0.759200,1796455,795.85,"((1,2),((3,4),5))",568.4,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,6,0.757119,1807640,792.74,"((1,2),((3,4),5))",647.1,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,5,0.760008,1769146,798.38,"((1,2),(3,(4,5)))",663.3,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,3,0.756563,1735818,796.22,"((1,2),(3,(4,5)))",675.8,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,0,0.757031,1748311,796.06,"((1,2),(3,(4,5)))",676.9,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,4,0.757991,1756188,796.74,"((1,2),(3,(4,5)))",696.4,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,8,0.756857,1736083,796.56,"((1,2),(3,(4,5)))",720.8,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,9,0.756158,1735965,795.73,"((1,2),(3,(4,5)))",734.6,True,0,3,
MIN_TURN_DISTANCE=3,结构性,最小转弯间距 (km),3,0.3,7,0.808855,2054551,839.81,"(1,((2,(3,4)),5))",735.0,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,6,0.848780,2798524,844.25,"((1,(2,(3,4))),5)",271.3,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,5,0.857107,1820407,910.45,"((1,(2,3)),(4,5))",373.0,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,4,0.781997,1813223,821.89,"((1,2),(3,(4,5)))",393.0,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,7,0.782006,1813223,821.90,"((1,2),(3,(4,5)))",406.0,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,9,0.759494,1742716,799.30,"((1,2),(3,(4,5)))",393.4,True,0,3,
MIN_TURN_DISTANCE=7,结构性,最小转弯间距 (km),7,0.3,8,0.816366,2382314,829.83,"(1,((2,(3,4)),5))",464.0,True,0,3,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,9,0.829438,2198405,855.90,"((1,2),(3,(4,5)))",555.1,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,6,0.759361,1838497,793.62,"((1,2),((3,4),5))",660.5,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,2,0.762459,1830682,797.74,"((1,2),((3,4),5))",671.8,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,4,0.758031,1847455,791.53,"((1,2),((3,4),5))",680.7,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,3,0.759275,1769972,797.47,"((1,2),(3,(4,5)))",691.9,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,1,0.758185,1758281,796.85,"((1,2),(3,(4,5)))",709.7,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,8,0.755924,1835248,789.74,"((1,2),((3,4),5))",716.2,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,0,0.760377,1770104,798.76,"((1,2),(3,(4,5)))",776.6,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,5,0.807769,2079777,837.07,"(1,((2,(3,4)),5))",797.9,True,0,4,
NBR_RADIUS=4,算法性,A* 邻域半径,4 (80 邻接),0.3,7,0.814568,2042563,847.27,"(1,((2,(3,4)),5))",798.4,True,0,4,
