cfg,group,param,level,w_N,seed,F_best,N_exposed,L_total,topology,runtime_s,success,timed_out,nbr,error
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,1,0.871905,1782275,930.18,"((1,2),(3,(4,5)))",344.8,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,3,0.874288,2088367,915.37,"((1,2),(3,(4,5)))",392.6,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,1,0.748920,1845795,780.83,"((1,2),(3,(4,5)))",513.5,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,5,0.748762,1848539,780.49,"((1,2),(3,(4,5)))",518.8,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,0,0.748899,1826190,781.94,"((1,2),(3,(4,5)))",523.3,True,0,3,
SECTOR_R_MIN_FRAC=0.75,结构性,扇环半径下界比例,0.75,0.3,2,0.792928,1804502,835.34,"((1,2),(3,(4,5)))",532.4,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,9,0.749956,1937424,776.78,"((1,2),(3,(4,5)))",544.1,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,2,0.748555,1882277,778.30,"((1,2),(3,(4,5)))",555.6,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,3,0.756199,2149222,771.98,"((1,2),(3,(4,5)))",562.8,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,6,0.748930,1813027,782.73,"((1,2),(3,(4,5)))",574.0,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,4,0.751674,1776140,788.11,"((1,2),(3,(4,5)))",594.3,True,0,3,
SECTOR_R_MIN_FRAC=0.25,结构性,扇环半径下界比例,0.25,0.3,8,0.802007,2485052,806.90,"(1,((2,(3,4)),5))",628.1,True,0,3,
