cfg,group,param,level,w_N,seed,F_best,N_exposed,L_total,topology,runtime_s,success,timed_out,nbr,error
THR55,阈值,SEL 阈值,55 dB,0.3,9,0.910187,4110412,841.43,"((1,2),(3,(4,5)))",398.4,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,2,0.835564,3331910,797.87,"((1,2),((3,4),5))",454.3,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,3,0.836834,3312135,800.51,"((1,2),((3,4),5))",455.5,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,5,0.892243,4499722,797.75,"((1,2),((3,4),5))",459.6,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,3,0.891225,4487773,797.23,"((1,2),((3,4),5))",474.4,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,2,0.889897,4487237,795.69,"((1,2),((3,4),5))",476.4,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,4,0.890443,4427475,799.78,"((1,2),((3,4),5))",494.4,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,6,0.895945,4571998,797.97,"((1,2),((3,4),5))",495.3,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,0,0.836843,3307499,800.79,"((1,2),(3,(4,5)))",508.8,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,1,0.832857,3253464,799.18,"((1,2),(3,(4,5)))",532.4,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,0,0.894702,4440944,804.04,"((1,2),(3,(4,5)))",533.3,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,8,0.897040,4584276,798.56,"((1,2),((3,4),5))",535.8,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,7,0.890312,4432152,799.35,"((1,2),((3,4),5))",538.8,True,0,3,
THR55,阈值,SEL 阈值,55 dB,0.3,1,0.887844,4366693,800.20,"((1,2),(3,(4,5)))",544.1,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,5,0.835184,3347719,796.51,"((1,2),((3,4),5))",381.1,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,4,0.835468,3254693,802.21,"((1,2),(3,(4,5)))",453.8,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,9,0.839576,3290634,805.00,"((1,2),(3,(4,5)))",420.7,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,6,0.832338,3241222,799.27,"((1,2),(3,(4,5)))",473.3,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,7,0.838460,3266733,805.06,"((1,2),(3,(4,5)))",563.7,True,0,3,
THR60,阈值,SEL 阈值,60 dB,0.3,8,1.011500,2725794,1041.19,"(1,((2,(3,4)),5))",564.9,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,3,0.672695,367637,775.68,"((1,2),((3,4),5))",425.6,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,2,0.672695,367637,775.68,"((1,2),((3,4),5))",434.2,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,1,0.687136,653953,776.29,"((1,2),((3,4),5))",452.0,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,4,0.688404,569076,782.69,"((1,2),((3,4),5))",479.3,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,0,0.685406,358277,791.28,"((1,2),(3,(4,5)))",485.5,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,1,0.684922,358362,790.70,"((1,2),(3,(4,5)))",501.0,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,2,0.687566,653953,776.80,"((1,2),((3,4),5))",503.4,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,3,0.693821,514372,792.25,"((1,2),(3,(4,5)))",508.0,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,0,0.687758,534166,783.93,"((1,2),((3,4),5))",538.4,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,7,0.687505,575824,781.23,"((1,2),((3,4),5))",555.5,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,9,0.696213,473561,797.44,"((1,2),(3,(4,5)))",558.4,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,8,0.688964,539033,785.08,"((1,2),((3,4),5))",574.7,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,6,0.688843,557163,783.89,"((1,2),((3,4),5))",574.9,True,0,3,
THR70,阈值,SEL 阈值,70 dB,0.3,5,0.736769,628442,836.56,"(1,((2,(3,4)),5))",636.1,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,9,0.710155,358362,820.59,"((1,2),(3,(4,5)))",280.3,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,5,0.674793,384422,777.20,"((1,2),((3,4),5))",350.0,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,4,0.675466,361273,779.33,"((1,2),((3,4),5))",385.5,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,6,0.735328,608373,836.01,"((1,(2,(3,4))),5)",368.4,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,8,0.672799,367637,775.80,"((1,2),((3,4),5))",388.3,True,0,3,
THR75,阈值,SEL 阈值,75 dB,0.3,7,0.685349,358362,791.20,"((1,2),(3,(4,5)))",425.7,True,0,3,
