iter,T,acceptance_rate,F_current,F_best
127,0.000741,0.559055,0.629682,0.623904
128,0.000704,0.5625,0.630673,0.623904
129,0.000669,0.55814,0.630673,0.623904
130,0.000635,0.561538,0.630388,0.623904
131,0.000604,0.564885,0.627549,0.623904
132,0.000573,0.568182,0.62714,0.623904
133,0.000545,0.56391,0.62714,0.623904
134,0.000518,0.567164,0.625296,0.623904
135,0.000492,0.562963,0.625296,0.623904
136,0.000467,0.566176,0.623646,0.623646
137,0.000444,0.562044,0.623646,0.623646
138,0.000422,0.557971,0.623646,0.623646
139,0.0004,0.553957,0.623646,0.623646
140,0.00038,0.55,0.623646,0.623646
141,0.000361,0.546099,0.623646,0.623646
142,0.000343,0.542254,0.623646,0.623646
143,0.000326,0.538462,0.623646,0.623646
144,0.00031,0.534722,0.623646,0.623646
145,0.000294,0.531034,0.623646,0.623646
146,0.00028,0.527397,0.623646,0.623646
147,0.000266,0.52381,0.623646,0.623646
148,0.000252,0.52027,0.623646,0.623646
149,0.00024,0.516779,0.623646,0.623646
150,0.000228,0.513333,0.623646,0.623646
