iter,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19
0,1000000.0,0.6480755318609548,0.7563483982645726,0.8160206634295593,0.6833740219506258,0.7788974354768133,0.699534849490181,0.7571340104160164,0.706373535791525,0.8916439506875505,0.6993240605529121,0.6716734316617922,0.7160030864246683,0.6553555648683065,0.7884534729069224,0.6738469082116251,0.8940977230014278,0.7388141200071721,0.7195969070346402,0.7387748377543669
1,1000000.0,0.6444029047008852,0.7722436224535314,0.8149486669613719,0.6833740219506258,0.7788974354768133,0.7048372573899924,0.716083342045249,0.706373535791525,0.8916439506875505,0.6993240605529121,0.6716734316617922,0.7227835796692627,0.6600582263795437,0.7882034390630315,0.6773775039345047,0.7791543408224493,0.7388141200071721,0.7431650782150083,0.7387748377543669
2,1000000.0,0.6435573268292947,0.7997816282477457,0.8193796949639179,0.6833740219506258,0.7810467032518924,0.7048372573899924,0.7134542125894401,0.6909935589173255,0.8898334250787593,0.6993240605529121,0.674858148446071,0.723338858958932,0.687537838133266,0.7894633030673526,0.6731869702883394,0.7661631273481019,0.7388141200071721,0.7139095713915186,0.7387748377543669
3,1000000.0,0.7193280488484048,0.7180928938308572,0.8220991356357873,0.6804854772205786,0.8103310472493563,0.7032132186243764,0.7134542125894401,0.6477117366156695,0.9400560953089326,0.7041074878314714,0.6922953768332734,0.6448796897181366,0.6844388395644134,0.7294360087423005,0.6646360409130387,0.7462227901802613,0.7388141200071721,0.7091338460941696,0.7154173162367616
4,1000000.0,0.707330295175328,0.7180928938308572,0.8202614245375631,0.6434396076250274,0.8095327492725215,0.6966518104353844,0.7134542125894401,0.6508703439869863,0.9400560953089326,0.7041074878314714,0.6922953768332734,0.6448796897181366,0.6825719571467712,0.7383228212851982,0.6435775952244834,0.7452991614795444,0.7388141200071721,0.7091338460941696,0.7010154047069019
5,1000000.0,0.7073143738955441,0.7242810941518596,0.8202614245375631,0.6428213831315288,0.8063354537690204,0.6891108874077192,0.7167512821238813,0.6508137993601879,0.8397464203267972,0.7041074878314714,0.6430524901957612,0.6461931847573047,0.6825719571467712,0.7362993416785546,0.6449236679048694,0.7467434426702423,0.7500909479423657,0.7525265959750327,0.6876374467003445
6,1000000.0,0.6986208677272208,0.7434045672666192,0.8197177431531324,0.6457393672902699,0.8534613081703664,0.6836490773708082,0.7102490910013054,0.6555043552971183,0.735834087256297,0.7024417642909083,0.6430524901957612,0.6469171480739898,0.683274725834767,0.7336764558008052,0.6459381964493276,0.7399092680090174,0.7498666569713471,0.760431683324815,0.6819653170321309
7,1000000.0,0.6986208677272208,0.7365700630284298,0.8189164868257113,0.6457393672902699,0.8540503406250596,0.6936437331148954,0.724527441624592,0.6514568175733575,0.7246797683318965,0.7024417642909083,0.6378046868185048,0.6477747827515763,0.6760777690033941,0.7336764558008052,0.6905403262910799,0.7399092680090174,0.7498666569713471,0.7570219355215,0.7227749244155786
8,1000000.0,0.7005437685472521,0.7365700630284298,0.8189164868257113,0.6457393672902699,0.8529966833474067,0.6939890041998538,0.6762021840640079,0.6476854499026001,0.7246797683318965,0.7024417642909083,0.6406913839403825,0.6477747827515763,0.6491863896646817,0.7341219469927187,0.6907805843194056,0.7410664581834319,0.7462916548119445,0.7570219355215,0.719873668134198
9,1000000.0,0.6974629787944332,0.7368682170237513,0.8450988663069132,0.6403690657435965,0.8543104512480071,0.6939890041998538,0.6791241218963682,0.6480882013270681,0.7239880652509827,0.7024417642909083,0.6406913839403825,0.6771258294319344,0.692499033398727,0.7349177833656536,0.6907805843194056,0.7410664581834319,0.7462916548119445,0.7625025351936707,0.7156178796966924
